ROI,Ranges
sample 100,"[[21, 39], [127, 139], [150, 157],  [184, 193], [241, 253]]"
sample 99,"[[25, 43], [129, 141], [152, 158], [186, 194],  [240, 253]]"
sample 98,"[[28, 45], [130, 143], [153, 160], [187, 195], [241, 254]]"
sample 97,"[[29, 46], [130, 144], [153, 160], [187, 195],  [241, 255]]"
sample 96,"[[30, 47], [130, 145], [154, 160], [187, 196], [242, 256]]"
sample 95,"[[29, 46], [130, 146], [154, 160], [188, 196], [241, 256]]"
sample 94,"[[29, 45], [131, 146], [154, 160], [188, 196], [241, 256]]"
sample 93,"[[29, 45], [132, 147], [154, 161], [188, 197], [242, 257]]"
sample 92,"[[29, 45], [132, 147], [155, 162], [189, 198], [242, 257]]"
sample 91,"[[28, 45],  [132, 147], [155, 162], [189, 198], [243, 256]]"
sample 90,"[[28, 44], [132, 146], [154, 161], [188, 197], [242, 256]]"
sample 89,"[[25, 42], [131, 145], [153, 160], [187, 197], [242, 255]]"
